15753 109548
0 398 0.12962962963
0 5379 0.104861111111
0 8249 0.14
0 5431 0.110526315789
0 10906 0.116666666667
1 30 0.167948717949
1 7735 0.103
2 15437 0.246666666667
2 833 0.150670103093
3 14810 0.246551724138
3 10894 0.122950819672
4 6 0.235443037975
4 14248 0.176359832636
4 9505 0.110659898477
4 1400 0.115498154982
5 3356 0.114772727273
5 7201 0.315328467153
5 1720 0.167796610169
6 14248 0.153466135458
6 2002 0.168340611354
7 8216 0.174911032028
8 10536 0.20534351145
8 8211 0.220588235294
8 10539 0.2
9 7231 0.268298969072
9 3031 0.119266055046
9 12136 0.10064516129
10 666 0.110526315789
10 8740 0.114141414141
10 15730 0.110144927536
10 5510 0.100925925926
11 4132 0.19
11 6364 0.348514851485
11 13830 0.110526315789
11 12495 0.125
11 2605 0.107692307692
11 134 0.100925925926
11 15654 0.1625
11 70 0.14
11 9474 0.18
11 5435 0.147368421053
11 1225 0.102424242424
11 15121 0.196551724138
11 8935 0.106542056075
11 12734 0.170710059172
12 9467 0.164390243902
12 8693 0.170588235294
12 12733 0.357327586207
12 7181 0.190957446809
13 14874 0.188461538462
13 14884 0.116666666667
14 4529 0.105147058824
14 11134 0.124137931034
14 7908 0.3525
14 5580 0.13125
14 13519 0.168
14 13864 0.15
14 10961 0.204166666667
14 11095 0.107291666667
14 15344 0.106306306306
14 12070 0.127272727273
15 765 0.531690140845
15 4908 0.10593220339
15 836 0.117796610169
15 8161 0.222661870504
15 6569 0.120388349515
15 936 0.15
16 15278 0.12
16 1871 0.113815789474
16 9666 0.102317073171
16 12061 0.138103448276
17 7993 0.130434782609
17 10885 0.154191616766
17 5241 0.128571428571
18 8791 0.3
18 4357 0.3
18 4833 0.3
18 4359 0.3
18 15076 0.3
18 4362 0.3
18 2459 0.328571428571
18 3965 0.3
18 5869 0.3
18 7382 0.326923076923
18 9332 0.31320754717
18 14822 0.3
18 265 0.311666666667
18 11142 0.3
18 12230 0.32641509434
18 3731 0.327450980392
18 1784 0.3
18 7611 0.326923076923
18 8793 0.3
18 14607 0.3
18 11652 0.3
18 13163 0.32641509434
18 12675 0.328
18 12676 0.328
18 14158 0.360869565217
18 9385 0.3
18 9645 0.470731707317
18 9921 0.313725490196
18 9929 0.3
18 15340 0.3
18 1806 0.3
18 9933 0.3
18 11524 0.3
18 8852 0.3
18 15355 0.3
18 7440 0.436956521739
18 1285 0.328
18 13912 0.3
18 12460 0.324561403509
18 4733 0.3
18 703 0.332558139535
18 2073 0.327450980392
18 5237 0.327450980392
18 10437 0.3
18 4354 0.3
18 10442 0.3
18 10443 0.3
18 10444 0.3
18 10445 0.3
18 605 0.35
18 11210 0.310294117647
18 14893 0.329166666667
18 10985 0.353846153846
18 10449 0.3
18 10451 0.3
18 10452 0.3
18 10455 0.3
18 9197 0.3
18 6759 0.3
18 6760 0.3
18 130 0.334146341463
18 7205 0.3
18 7206 0.3
18 7207 0.3
18 7208 0.3
18 7209 0.3
18 7210 0.3
18 14916 0.3375
18 13138 0.35
